Brand,Name,Type,Scent,Longevity,Rating calc,Comments
Montale,Arabians Tonka,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌗🌑🌑,🟤  10 / 4.5,
Montale,Dark Vanilla,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌑🌑,🟤  10 / 5.5,
Montale,Oud Tobacco,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌕,🔵  10 / 9.5,"A bit of an acquired taste, but with really good performance"
Nobile 1942,Rudis,Eau de Parfum,🌗🌑🌑🌑🌑,🌕🌕🌕🌕🌗,🟤  10 / 5,Smells like sour wine to me…
Paco Rabanne,1 Million,Eau de Toilette,🌕🌕🌕🌗🌑,🌕🌕🌑🌑🌑,🟤  10 / 5.5,
JOOP!,Homme Le Parfum,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Amouage,Interlude Black Iris,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌗,🟣  10 / 8,"It has a strong, but divisive scent; if you hate it, you will have a bad day"
Hugo Boss,Bottled Parfum,Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
Bvlgari,Man Wood Essence,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌑🌑🌑,🟡  10 / 6.5,
Davidoff,Cool Water Intense,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Dolce & Gabbana,K Eau De Parfum Intense,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Jean Paul Gaultier,Scandal Pour Homme Le Parfum,Parfum,🌕🌕🌕🌕🌕,🌕🌕🌕🌑🌑,🟣  10 / 8,Possibly bad sample; have to re-test
Kenzo,Homme,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌕,🔵  10 / 9.5,Really good all around and its also cheap
Montblanc,Explorer,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Montblanc,Legend,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Paco Rabanne,Black XS L'Exces Intense For Him,Eau de Toilette,🌕🌕🌕🌗🌑,🌕🌕🌑🌑🌑,🟤  10 / 5.5,
Philipp Plein,No Limit$ Plein Super Fre$h,Eau de Toilette,🌕🌕🌕🌕🌗,🌕🌕🌑🌑🌑,🟡  10 / 6.5,
Philipp Plein,No Limit$ Gold,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌗🌑🌑🌑,🟤  10 / 4.5,
Police,To Be Rebel,Eau de Toilette,🌕🌕🌕🌕🌑,🌕🌕🌑🌑🌑,🟡  10 / 6,
Tommy Hilfiger,Impact Intense,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Versace,Pour Homme Dylan Blue,Eau de Toilette,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Yves Saint Laurent,MYSLF Le Parfum,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Viktor&Rolf,Spicebomb,Eau de Toilette,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Mancera,"Red Tobacco ",Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌕,🔵  10 / 9,Smoky spicy-sweet tobacco with really good performance and it comes cheap.
Montale,Honey Aoud,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Montale,Intense Pepper,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌕🌑🌑,🟤  10 / 5,
Montale,Oud Dream,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌗🌑,🟣  10 / 8,
Montale,Oud Edition,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌕🌑,🟡  10 / 6.5,
Carolina Herrera,212 VIP Black,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Afnan,"Supremacy In Oud ",Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Afnan,Supremacy Not Only Intense,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌗🌑🌑,🟤  10 / 5.5,
Hamidi,Addicted Silver,Parfum,🌕🌕🌑🌑🌑,🌕🌕🌕🌗🌑,🟤  10 / 5.5,
Armaf,Maison Luxe Midnight Amber,Parfum,🌕🌕🌗🌑🌑,🌕🌕🌗🌑🌑,🟤  10 / 5,
Ajmal,Evoke Midnight,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Ajmal,Shadow Noir,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Amouage,Imitation Man,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌑🌑,🟤  10 / 5.5,
Armaf,Caballo Pour Homme,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Armaf,Nomad Pour Homme,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Bait Al Bakhoor,Tohfa Black,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Lattafa,Opulent Oud,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌑,🟠  10 / 7.5,
Mancera,Black Gold,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Mancera,Tonka Cola,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌑,🟠  10 / 7.5,
Montale,Aoud Cuir d’Arabie,Eau de Parfum,🌗🌑🌑🌑🌑,🌕🌕🌕🌗🌑,🟤  10 / 4,
Montale,"Aoud Leather ",Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌗🌑,🟡  10 / 6,
Montale,"Aoud Musk ",Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Montale,"Blue Amber ",Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌗🌑,🟡  10 / 6.5,
Montale,"Full Incense ",Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌑,🟣  10 / 8,
Montale,"Spicy Aoud ",Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌕🌑,🟠  10 / 7,
Montale,Wood & Spices,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌕🌗🌑,🟤  10 / 5.5,
Rasasi,Dhanal Oudh Nashwah,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌕🌕🌗,🟡  10 / 6.5,
Rasasi,Faqat Lil Rijal,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌗🌑,🟡  10 / 6,
Emporio Armani,Stronger With You Intensely,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
Viktor&Rolf,Spicebomb Dark Leather,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
Gisada,Ambassador,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Gisada,Titanium,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Paco Rabanne,1 Million Gold,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌑,🟣  10 / 8.5,"Good scent, solid performance"
Hermés,H24 Herbes Vives,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Loewe,Esencia,Elixir,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Loewe,Solo Vulcan,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Loewe,7,Elixir,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,"Probably the closest scent to the Sauvage Elixir I’ve seen, with lesser performance. However, the price is too close to recommend this instead."
Dolce & Gabbana,K,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌗🌑🌑,🟠  10 / 7,
Lolita Lempicka,Lempicka Homme,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Adidas,Vibes Energy Drive,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌑🌑🌑,🟡  10 / 6,
Ahmed Al Maghribi,Brûlée,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌕,🔵  10 / 9,"Woody-oriental scent with all-day performance, good price."
Ahmed Al Maghribi,Hirfah,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
